id_pattern	pattern	size_group_support	size_context_support	nb_outcomes	reliability_default	reliability_ref	reliability_context_all_individuals	reliability_context	quality	confidence_interval	pattern_p_value	state_intra_agreement
0	"('Republican Party ', ""['20.11 Government Branch Relations, Administrative Issues, and Constitutional Reforms'] [115.0, 115.0] "")"	246	27	6178	0.830645372293865	0.830645372293865	0.3178516399316468	0.3178516399316468	0.5127937323622183	[0.67639466847787122, 0.98481831139673726]	1.0841260852181577e-17	CONFLICTUAL
1	"('Republican Party ', ""['5 Labor'] [115.0, 115.0] "")"	246	22	5071	0.830645372293865	0.830645372293865	0.6326844575195139	0.6326844575195139	0.19796091477435118	[0.65913181840421964, 1.002062786948666]	0.0029477659763725629	CONFLICTUAL
2	"('Republican Party ', ""['20.05 Nominations and Appointments Not Codable Elsewhere'] [115.0, 115.0] "")"	246	177	40879	0.830645372293865	0.830645372293865	0.916138949163174	0.916138949163174	0.08549357686930892	[0.77745605897543113, 0.88382543606492325]	3.4605081758121159e-05	CONSENSUAL
