icpsr	congress	party_code	state_icpsr	state_abbrev	district_code	occupancy	bioname
522	109.0	Republican Party	47	NC	10	0	McHENRY, Patrick T.
530	102.0	Republican Party	49	TX	6	0	BARTON, Joe Linus
531	112.0	Republican Party	48	SC	3	0	DUNCAN, Jeff
532	112.0	Republican Party	48	SC	4	0	GOWDY, Trey
533	112.0	Republican Party	48	SC	5	0	MULVANEY, Mick
534	112.0	Republican Party	37	SD	1	0	NOEM, Kristi
535	112.0	Republican Party	14	PA	10	0	MARINO, Thomas A.
536	112.0	Republican Party	14	PA	11	0	BARLETTA, Lou
539	112.0	Republican Party	54	TN	3	0	FLEISCHMANN, Chuck
540	112.0	Republican Party	54	TN	4	0	DESJARLAIS, Scott
564	113.0	Republican Party	36	ND	1	0	CRAMER, Kevin
565	113.0	Republican Party	24	OH	2	0	WENSTRUP, Brad
566	113.0	Republican Party	24	OH	14	0	JOYCE, David
567	113.0	Republican Party	53	OK	1	0	BRIDENSTINE, Jim
568	113.0	Republican Party	53	OK	2	0	MULLIN, Markwayne
569	113.0	Republican Party	14	PA	4	0	PERRY, Scott
570	113.0	Republican Party	14	PA	12	0	ROTHFUS, Keith
571	113.0	Republican Party	48	SC	7	0	RICE, Tom
575	110.0	Republican Party	43	FL	9	0	BILIRAKIS, Gus
578	110.0	Republican Party	40	VA	1	2	WITTMAN, Robert J.
579	110.0	Republican Party	24	OH	5	2	LATTA, Robert E.
581	112.0	Republican Party	25	WI	7	0	DUFFY, Sean
585	112.0	Republican Party	54	TN	6	0	BLACK, Diane
587	112.0	Republican Party	49	TX	17	0	FLORES, Bill
589	112.0	Republican Party	49	TX	27	0	FARENTHOLD, Blake
590	112.0	Republican Party	73	WA	3	0	HERRERA BEUTLER, Jaime
594	112.0	Republican Party	51	KY	4	2	MASSIE, Thomas
599	111.0	Republican Party	12	NJ	7	0	LANCE, Leonard
600	109.0	Republican Party	49	TX	11	0	CONAWAY, K. Michael
602	111.0	Republican Party	33	MN	3	0	PAULSEN, Erik
603	111.0	Republican Party	46	MS	3	0	HARPER, Gregg
604	111.0	Republican Party	34	MO	9	0	LUETKEMEYER, Blaine
605	108.0	Republican Party	66	NM	2	0	PEARCE, Stevan
610	113.0	Republican Party	44	GA	9	0	COLLINS, Doug
614	113.0	Republican Party	21	IL	13	0	DAVIS, Rodney
619	115.0	Republican Party	67	UT	3		CURTIS, John R.
620	104.0	Republican Party	47	NC	3	0	JONES, Walter Beaman, Jr.
621	115.0	Republican Party	32	KS	4		ESTES, Ron
622	115.0	Republican Party	64	MT	1		GIANFORTE, Greg
623	115.0	Republican Party	44	GA	6		HANDEL, Karen
624	115.0	Republican Party	48	SC	5		NORMAN, Ralph
630	113.0	Republican Party	49	TX	14	0	WEBER, Randy
632	114.0	Republican Party	45	LA	6	0	GRAVES, Garret
633	114.0	Republican Party	45	LA	5	0	ABRAHAM, Ralph
634	114.0	Republican Party	31	IA	3	0	YOUNG, David
635	114.0	Republican Party	31	IA	1	0	BLUM, Rod
636	114.0	Republican Party	23	MI	8	0	BISHOP, Michael Dean
637	114.0	Republican Party	23	MI	4	0	MOOLENAAR, John
640	105.0	Republican Party	41	AL	4	0	ADERHOLT, Robert
645	112.0	Republican Party	52	MD	1	0	HARRIS, Andy
647	112.0	Republican Party	22	IN	4	0	ROKITA, Todd
648	112.0	Republican Party	22	IN	8	0	BUCSHON, Larry
651	112.0	Republican Party	32	KS	3	0	YODER, Kevin
652	112.0	Republican Party	32	KS	4	0	POMPEO, Mike
656	104.0	Republican Party	24	OH	1	0	CHABOT, Steve
663	110.0	Republican Party	45	LA	1	2	SCALISE, Steve
668	110.0	Republican Party	21	IL	6	0	ROSKAM, Peter
672	112.0	Republican Party	34	MO	4	0	HARTZLER, Vicky
673	112.0	Republican Party	46	MS	4	0	PALAZZO, Steven
677	112.0	Republican Party	23	MI	3	0	AMASH, Justin
678	112.0	Republican Party	23	MI	2	0	HUIZENGA, Bill
688	112.0	Republican Party	56	WV	1	0	McKINLEY, David
689	115.0	Republican Party	68	WY	1		CHENEY, Liz
690	115.0	Republican Party	43	FL	2		DUNN, Neal Patrick
691	115.0	Republican Party	13	NY	19		FASO, John J.
692	115.0	Republican Party	44	GA	3		FERGUSON, Anderson Drew IV
693	115.0	Republican Party	14	PA	8		FITZPATRICK, Brian K.
694	115.0	Republican Party	43	FL	1		GAETZ, Matthew L. II
695	113.0	Republican Party	49	TX	25	0	WILLIAMS, Roger
696	113.0	Republican Party	67	UT	2	0	STEWART, Chris
