vote_id	congress	year	description	vote_id_in_congress	billtype	topic	krippendorff_alpha	nb_voters	['Nay', 'Yea']
25	115.0	2017.0	S. 84: A bill to provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.	27	S84	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	233	[0, 233]
28	115.0	2017.0	On the Nomination PN40: John F. Kelly, of Virginia, to be Secretary of Homeland Security	30	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	236	[236, 0]
29	115.0	2017.0	On the Motion to Proceed PN43: Mike Pompeo, of Kansas, to be Director of the Central Intelligence Agency	31	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	236	[0, 236]
30	115.0	2017.0	On the Nomination PN43: Mike Pompeo, of Kansas, to be Director of the Central Intelligence Agency	32	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	232	[0, 232]
33	115.0	2017.0	On the Nomination PN35: Elaine L. Chao, of Kentucky, to be Secretary of Transportation	35	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	234	[0, 234]
37	115.0	2017.0	On the Motion (Shall the Journal Stand Approved to Date?): Rex W. Tillerson, of Texas, to be Secretary of State	39	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	233	[233, 0]
42	115.0	2017.0	On the Motion to Proceed PN30: Jeff Sessions, of Alabama, to be Attorney General	44	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	233	[233, 0]
51	115.0	2017.0	On the Motion for Attendance PN37: Elisabeth Prince DeVos, of Michigan, to be Secretary of Education	53	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	235	[235, 0]
53	115.0	2017.0	Motion to Invoke Cloture on the Nomination of Jeff Sessions, of Alabama, to be Attorney General: Jeff Sessions, of Alabama, to be Attorney General	55	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	234	[0, 234]
54	115.0	2017.0	On the Motion for Attendance PN30: Jeff Sessions, of Alabama, to be Attorney General	56	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	235	[0, 235]
55	115.0	2017.0	On the Decision of the Chair PN30: Jeff Sessions, of Alabama, to be Attorney General	57	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	235	[235, 0]
59	115.0	2017.0	On the Nomination PN33: Thomas Price, of Georgia, to be Secretary of Health and Human Services	61	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	229	[0, 229]
60	115.0	2017.0	Motion to Invoke Cloture on the Nomination of Steven T. Mnuchin, of California, to be Secretary of the Treasury.: Steven T. Mnuchin, of California, to be Secretary of the Treasury	62	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	233	[0, 233]
61	115.0	2017.0	On the Nomination PN26: Steven T. Mnuchin, of California, to be Secretary of the Treasury	63	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	234	[0, 234]
62	115.0	2017.0	On the Nomination PN39: David J. Shulkin, of Pennsylvania, to be Secretary of Veterans Affairs	64	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	235	[235, 0]
63	115.0	2017.0	On the Nomination PN48: Linda E. McMahon, of Connecticut, to be Administrator of the Small Business Administration	65	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	235	[0, 235]
66	115.0	2017.0	On the Nomination PN54: Mick Mulvaney, of South Carolina, to be Director of the Office of Management and Budget	68	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	235	[0, 235]
67	115.0	2017.0	Motion to Invoke Cloture re Nomination of Scott Pruitt, of Oklahoma, to be Administrator of the Environmental Protection Agency: Scott Pruitt, of Oklahoma, to be Administrator of the Environmental Protection Agency	69	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	236	[0, 236]
68	115.0	2017.0	On the Motion (Motion to Extend Debate Re: Pruitt Nomination): Scott Pruitt, of Oklahoma, to be Administrator of the Environmental Protection Agency	70	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	231	[0, 231]
69	115.0	2017.0	On the Nomination PN44: Scott Pruitt, of Oklahoma, to be Administrator of the Environmental Protection Agency	71	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	231	[0, 231]
72	115.0	2017.0	Motion to Invoke Cloture Re: Nomination of Ryan Zinke to be Secretary of the Interior: Ryan Zinke, of Montana, to be Secretary of the Interior	74	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	230	[0, 230]
73	115.0	2017.0	On the Nomination PN31: Ryan Zinke, of Montana, to be Secretary of the Interior	75	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	232	[0, 232]
83	115.0	2017.0	Motion to Invoke Cloture on the Nomination of Seema Verma to be Administrator of the Centers for Medicare and Medicaid Services: Seema Verma, of Indiana, to be Administrator of the Centers for Medicare and Medicaid Services	85	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	235	[0, 235]
86	115.0	2017.0	Motion to Invoke Cloture on Daniel Coats, of Indiana, to be Director of National Intelligence: Daniel Coats, of Indiana, to be Director of National Intelligence	88	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	225	[0, 225]
87	115.0	2017.0	On the Nomination PN41: Daniel Coats, of Indiana, to be Director of National Intelligence	89	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	225	[0, 225]
88	115.0	2017.0	On the Nomination PN87: Lt. Gen. Herbert R. McMaster, Jr., in the Army, to be Lieutenant General	90	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	227	[0, 227]
89	115.0	2017.0	On the Nomination PN85 and PN86: Charles R. Breyer, of California, to be a Member of the United States Sentencing Commission for a term expiring October 31, 2021	91	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	227	[0, 227]
101	115.0	2017.0	On the Nomination PN59: Elaine C. Duke, of Virginia, to be Deputy Secretary of Homeland Security	103	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	224	[0, 224]
102	115.0	2017.0	On the Motion to Proceed PN55: Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States	104	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	224	[0, 224]
104	115.0	2017.0	On the Motion to Reconsider PN55: Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States	106	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	232	[232, 0]
107	115.0	2017.0	On the Decision of the Chair PN55: Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States	109	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	234	[234, 0]
111	115.0	2017.0	Motion to Invoke Cloture on the Nomination of Rod J. Rosenstein, of Maryland, to be Deputy Attorney General: Rod J. Rosenstein, of Maryland, to be Deputy Attorney General	113	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	235	[235, 0]
113	115.0	2017.0	Motion to Invoke Cloture on the Nomination of R. Alexander Acosta, of Florida, to be Secretary of Labor: R. Alexander Acosta, of Florida, to be Secretary of Labor	115	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	233	[0, 233]
114	115.0	2017.0	On the Nomination PN88: R. Alexander Acosta, of Florida, to be Secretary of Labor	116	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	233	[0, 233]
115	115.0	2017.0	Motion to Invoke Cloture on the Nomination of Jay Clayton, of New York, to be a Member of the Securities and Exchange Commission: Jay Clayton, of New York, to be a Member of the Securities and Exchange Commission for a term expiring June 5, 2021	117	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	232	[0, 232]
120	115.0	2017.0	On the Nomination PN101: Heather Wilson, of South Dakota, to be Secretary of the Air Force	122	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	231	[231, 0]
128	115.0	2017.0	Motion to Invoke Cloture on the Nomination of Rachel L. Brand, of Iowa, to be Associate Attorney General: Rachel L. Brand, of Iowa, to be Associate Attorney General	130	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	234	[0, 234]
130	115.0	2017.0	Motion to Invoke Cloture on the Nomination of Terry Branstad, of Iowa, to be Ambassador to the People's Republic of China : Terry Branstad, of Iowa, to be Ambassador to the People's Republic of China	132	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	234	[234, 0]
132	115.0	2017.0	Motion to Invoke Cloture on the Nomination of John. J. Sullivan to be Deputy Secretary of State: John J. Sullivan, of Maryland, to be Deputy Secretary of State	134	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	220	[220, 0]
137	115.0	2017.0	On the Nomination PN104: Courtney Elwood, of Virginia, to be General Counsel of the Central Intelligence Agency	139	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	233	[0, 233]
155	115.0	2017.0	Motion to Invoke Cloture Re: David C. Nye to be United States District Judge: David C. Nye, of Idaho, to be United States District Judge for the District of Idaho	157	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	232	[232, 0]
158	115.0	2017.0	On the Nomination PN117: William Francis Hagerty IV, of Tennessee, to be Ambassador to Japan	160	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	227	[0, 227]
161	115.0	2017.0	Motion to Invoke Cloture on the Nomination of John Kenneth Bush, of Kentucky, to be United States Circuit Judge for the Sixth Circuit: John Kenneth Bush, of Kentucky, to be United States Circuit Judge for the Sixth Circuit	163	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	229	[0, 229]
164	115.0	2017.0	On the Nomination PN365: David Bernhardt, of Virginia, to be Deputy Secretary of the Interior	166	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	229	[229, 0]
178	115.0	2017.0	Motion to Invoke Cloture on Kevin Christopher Newsom, of Alabama, to be U.S. Circuit Judge: Kevin Christopher Newsom, of Alabama, to be United States Circuit Judge for the Eleventh Circuit	180	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	233	[0, 233]
179	115.0	2017.0	On the Nomination PN696: Christopher A. Wray, of Georgia, to be Director of the Federal Bureau of Investigation for a term of ten years	181	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	232	[0, 232]
182	115.0	2017.0	On the Nomination PN681: Marvin Kaplan, of Kansas, to be a Member of the National Labor Relations Board for the term of five years expiring August 27, 2020	184	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	235	[0, 235]
184	115.0	2017.0	On the Nomination PN459: Dan R. Brouillette, of Texas, to be Deputy Secretary of Energy	186	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	232	[0, 232]
186	115.0	2017.0	On the Nomination PN588: Timothy J. Kelly, of the District of Columbia, to be United States District Judge for the District of Columbia	188	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	233	[0, 233]
198	115.0	2017.0	Motion to Invoke Cloture on the Nomination of Noel J. Francisco, of the District of Columbia, to be Solicitor General of the United States: Noel J. Francisco, of the District of Columbia, to be Solicitor General of the United States	200	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	231	[0, 231]
202	115.0	2017.0	On the Nomination PN173: Heath P. Tarbert, of Maryland, to be an Assistant Secretary of the Treasury	204	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	231	[0, 231]
209	115.0	2017.0	On the Nomination PN248: Eric D. Hargan, of Illinois, to be Deputy Secretary of Health and Human Services	211	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	232	[0, 232]
210	115.0	2017.0	Motion to Invoke Cloture Re: Randal Quarles to be a Member of the Board of Governors of the Federal Reserve System: Randal Quarles, of Colorado, to be a Member of the Board of Governors of the Federal Reserve System for the unexpired term of fourteen years from February 1, 2004	212	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	232	[0, 232]
212	115.0	2017.0	Motion to Invoke Cloture Re: Lee Francis Cissna to be Director of U.S. Citizenship and Immigration Services, DHS: Lee Francis Cissna, of Maryland, to be Director of United States Citizenship and Immigration Services, Department of Homeland Security	214	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	230	[0, 230]
213	115.0	2017.0	On the Nomination PN352: Lee Francis Cissna, of Maryland, to be Director of United States Citizenship and Immigration Services, Department of Homeland Security	215	NOMIN	['20 Government Operations', '20.05 Nominations and Appointments Not Codable Elsewhere']	1.0	228	[228, 0]
