id_rater	85	91	97	117	118	230	368	417	443	451	462	497	498	499	508	509	510	513	608	609	690	703
115	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
116	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
117	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	 	Yea	Yea	Nay	Nay	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea
120	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	 	 	 	 	 	 	 	Yea	Yea	Yea	Yea
123	 	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea
124	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	 	 	 	 	 	 	 	 	 	 	 	 	Yea	Yea
125	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
126	Yea	Yea	Yea	Nay	Yea	Yea	Yea	 	Yea	Yea	Yea	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
127	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
128	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
130	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Yea	Yea	Yea	Nay	Nay	Nay	Nay	Yea	Yea	Yea	Yea
139	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea
141	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
144	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Yea	Yea	Yea
145	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
146	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
150	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	 	Yea	Yea	Nay	Nay	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea
155	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
156	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	 	 	 	 	 	 	 	 	Yea	Yea	Yea	Yea
161	Yea	Yea	Yea	Nay	Yea	Yea	 	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
166	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
167	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	 
169	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea
170	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	 
175	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea
176	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
186	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
189	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea
196	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
197	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea
201	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
203	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
210	Yea	Yea	Yea	Nay	Yea	Nay	Yea	Yea	Yea	Yea	 	 	 	 	 	 	 	 	Yea	Yea	Yea	Yea
211	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea
212	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Nay	Yea	Yea	Yea	Yea
219	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
220	 	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
223	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
224	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
225	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
226	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
227	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
229	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea
230	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
231	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Nay	Nay	Nay	Nay	Yea	Nay	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea
234	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Nay	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea
237	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea
239	Yea	Yea	Yea	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Nay	Nay	Nay	Yea	Yea	Yea	Yea	Yea	Yea	Yea	Yea
