vote_id	icpsr	outcome
36	0	Nay
39	0	Nay
43	0	Yea
45	0	Nay
47	0	Nay
242	0	Yea
325	0	Nay
331	0	Nay
351	0	Nay
390	0	Yea
415	0	Nay
416	0	Nay
442	0	Nay
532	0	Nay
569	0	Nay
582	0	Nay
607	0	Nay
610	0	Nay
623	0	Yea
625	0	Nay
649	0	Nay
654	0	Nay
665	0	Nay
682	0	Yea
693	0	Nay
700	0	Nay
704	0	Nay
36	3	Nay
39	3	Nay
43	3	Yea
45	3	Nay
47	3	Nay
242	3	Yea
325	3	Yea
331	3	Yea
351	3	Nay
390	3	Yea
415	3	Nay
416	3	Nay
442	3	Nay
532	3	Yea
569	3	Yea
582	3	Yea
607	3	Yea
610	3	Yea
623	3	Yea
625	3	Yea
649	3	Yea
654	3	Yea
665	3	Yea
682	3	Yea
693	3	Yea
700	3	Yea
704	3	Yea
36	4	Nay
39	4	Nay
43	4	Yea
45	4	Nay
47	4	Nay
242	4	Yea
325	4	Yea
331	4	Yea
390	4	Yea
415	4	Nay
416	4	Nay
442	4	Yea
532	4	Yea
582	4	Yea
607	4	Yea
610	4	Yea
623	4	Yea
625	4	Nay
649	4	Yea
654	4	Yea
682	4	Yea
693	4	Yea
700	4	Yea
36	6	Nay
39	6	Nay
43	6	Yea
45	6	Nay
47	6	Nay
242	6	Yea
325	6	Yea
331	6	Yea
351	6	Nay
390	6	Yea
415	6	Nay
416	6	Nay
442	6	Yea
532	6	Yea
569	6	Yea
582	6	Yea
607	6	Yea
610	6	Yea
623	6	Yea
625	6	Yea
649	6	Yea
654	6	Yea
665	6	Yea
682	6	Yea
693	6	Yea
700	6	Yea
704	6	Yea
36	13	Nay
39	13	Nay
43	13	Yea
45	13	Nay
47	13	Nay
242	13	Yea
325	13	Nay
331	13	Nay
351	13	Nay
390	13	Yea
415	13	Yea
416	13	Nay
442	13	Nay
532	13	Nay
569	13	Nay
582	13	Nay
607	13	Yea
610	13	Yea
623	13	Yea
625	13	Nay
649	13	Yea
654	13	Yea
665	13	Nay
682	13	Yea
693	13	Nay
700	13	Nay
704	13	Nay
36	14	Nay
39	14	Nay
43	14	Yea
45	14	Nay
47	14	Nay
242	14	Yea
325	14	Yea
331	14	Yea
351	14	Nay
390	14	Yea
415	14	Yea
416	14	Nay
442	14	Yea
532	14	Nay
569	14	Yea
582	14	Yea
607	14	Yea
610	14	Yea
623	14	Yea
625	14	Yea
649	14	Yea
654	14	Yea
665	14	Yea
682	14	Yea
693	14	Yea
700	14	Yea
704	14	Yea
36	15	Nay
39	15	Nay
43	15	Yea
45	15	Nay
47	15	Nay
242	15	Yea
325	15	Yea
331	15	Nay
351	15	Nay
390	15	Yea
415	15	Yea
416	15	Nay
442	15	Yea
532	15	Yea
569	15	Nay
582	15	Yea
607	15	Yea
610	15	Yea
623	15	Yea
625	15	Yea
649	15	Yea
654	15	Nay
665	15	Yea
682	15	Yea
693	15	Yea
700	15	Yea
704	15	Yea
36	16	Nay
39	16	Nay
43	16	Yea
45	16	Nay
47	16	Nay
242	16	Yea
325	16	Nay
331	16	Nay
351	16	Nay
390	16	Yea
415	16	Yea
416	16	Nay
442	16	Nay
532	16	Nay
569	16	Nay
582	16	Nay
607	16	Nay
610	16	Nay
623	16	Yea
625	16	Nay
649	16	Nay
654	16	Nay
665	16	Nay
682	16	Yea
693	16	Nay
700	16	Nay
704	16	Nay
36	17	Nay
39	17	Nay
43	17	Yea
45	17	Nay
47	17	Nay
242	17	Yea
325	17	Yea
331	17	Yea
351	17	Nay
390	17	Yea
415	17	Yea
416	17	Nay
442	17	Yea
532	17	Yea
569	17	Yea
582	17	Yea
607	17	Yea
610	17	Yea
623	17	Yea
625	17	Yea
649	17	Yea
654	17	Yea
665	17	Yea
693	17	Yea
700	17	Yea
704	17	Nay
36	18	Nay
39	18	Nay
43	18	Yea
45	18	Nay
47	18	Nay
242	18	Yea
325	18	Yea
331	18	Yea
351	18	Nay
390	18	Yea
415	18	Nay
416	18	Nay
442	18	Yea
532	18	Yea
569	18	Yea
582	18	Yea
607	18	Yea
610	18	Yea
623	18	Yea
625	18	Yea
649	18	Yea
654	18	Yea
665	18	Yea
682	18	Yea
693	18	Yea
700	18	Yea
704	18	Yea
36	30	Nay
39	30	Nay
43	30	Yea
45	30	Nay
47	30	Nay
242	30	Yea
325	30	Nay
331	30	Nay
351	30	Nay
390	30	Yea
415	30	Yea
416	30	Nay
442	30	Nay
532	30	Nay
569	30	Nay
582	30	Nay
607	30	Nay
610	30	Nay
623	30	Yea
625	30	Nay
649	30	Nay
654	30	Nay
665	30	Nay
682	30	Yea
693	30	Nay
700	30	Nay
704	30	Nay
36	31	Nay
39	31	Nay
43	31	Yea
45	31	Nay
47	31	Nay
242	31	Yea
331	31	Yea
351	31	Nay
390	31	Yea
415	31	Yea
416	31	Nay
442	31	Yea
532	31	Yea
569	31	Yea
582	31	Yea
607	31	Nay
610	31	Nay
623	31	Yea
625	31	Yea
649	31	Yea
654	31	Nay
665	31	Yea
682	31	Yea
693	31	Yea
700	31	Yea
704	31	Yea
36	42	Nay
39	42	Nay
43	42	Yea
45	42	Nay
47	42	Nay
242	42	Yea
325	42	Yea
331	42	Yea
390	42	Yea
415	42	Yea
416	42	Nay
442	42	Yea
532	42	Yea
569	42	Yea
582	42	Yea
607	42	Yea
610	42	Yea
623	42	Yea
625	42	Yea
649	42	Yea
654	42	Yea
665	42	Yea
682	42	Yea
693	42	Yea
700	42	Yea
704	42	Yea
36	44	Nay
39	44	Nay
43	44	Yea
45	44	Nay
47	44	Nay
242	44	Yea
325	44	Yea
331	44	Yea
351	44	Nay
390	44	Yea
415	44	Nay
416	44	Nay
442	44	Yea
532	44	Yea
569	44	Yea
582	44	Yea
607	44	Yea
610	44	Yea
623	44	Yea
625	44	Yea
649	44	Yea
654	44	Yea
665	44	Yea
682	44	Yea
693	44	Yea
700	44	Yea
36	49	Nay
39	49	Nay
43	49	Yea
45	49	Nay
47	49	Nay
242	49	Yea
325	49	Yea
331	49	Yea
351	49	Nay
390	49	Yea
415	49	Yea
416	49	Nay
442	49	Nay
532	49	Nay
569	49	Yea
582	49	Nay
607	49	Nay
610	49	Nay
623	49	Yea
625	49	Nay
649	49	Yea
654	49	Nay
665	49	Nay
682	49	Yea
693	49	Yea
700	49	Nay
36	50	Nay
39	50	Nay
43	50	Yea
45	50	Nay
47	50	Nay
242	50	Yea
325	50	Yea
331	50	Yea
351	50	Nay
390	50	Yea
415	50	Nay
416	50	Nay
442	50	Yea
532	50	Yea
569	50	Yea
582	50	Yea
607	50	Yea
610	50	Yea
