alpha	dataset_size	minimum_threshold_alpha	sample_size	confidence_interval_taylor	confidence_interval_empirical	confidence_interval_empirical_percentile	error	error_empirical	normal_distribution_pvalue	follows_normal
0.05	17346	1	797	[0.24007830985761291, 0.29853057231646063]	[0.2400768472098664, 0.29863548393980954]	(0.2403750175756978, 0.29871515650880054)	0.0018165428199086175	0.008208011479332145	0.8367064953088078	1
0.05	17346	1	815	[0.24041846597585026, 0.2981901951884548]	[0.24036147665953775, 0.2983091845623866]	(0.2404273449130876, 0.29867938724858933)	0.0030368533392094443	0.008548972218276996	0.9333684346673906	1
0.05	17346	1	832	[0.24072970100500657, 0.2978787602086209]	[0.24074227071708304, 0.2979201506142239]	(0.2408386655883421, 0.29791466073591233)	0.0009435162347586346	0.0025332729324045733	0.8682904070126245	1
0.05	17346	1	849	[0.24103169699699256, 0.2975765722734047]	[0.24066627750881125, 0.2977308317774919]	(0.24048914508867392, 0.2983214216918729)	0.009106861499725727	0.02226094842539239	0.9025804329755949	1
0.05	17346	1	867	[0.24134189164384545, 0.2972661825969153]	[0.24128639997692283, 0.2974028783980847]	(0.24126993179197254, 0.29734233515846986)	0.0034247955947922515	0.00264144935003785	0.5094608068466187	1
0.05	17346	1	884	[0.2416262626127912, 0.2969816347260875]	[0.24195359868368985, 0.2969033472608996]	(0.24220949807305792, 0.29700884082183465)	0.0073276273033873185	0.011022266852758866	0.9130442800976044	1
0.05	17346	1	901	[0.24190269046313273, 0.29670503664940673]	[0.2416617241936011, 0.296807609265777]	(0.24197779077202353, 0.2972553630728003)	0.006229637722783066	0.011298943714872278	0.851433363478483	1
0.05	17346	1	919	[0.2421871299921462, 0.29642042374514477]	[0.24189107362652623, 0.2964265540692556]	(0.24205992656381026, 0.29637225508681864)	0.005541102549708965	0.0032260942367224876	0.9564258877120257	1
0.05	17346	1	936	[0.24244833803698018, 0.29615905807989973]	[0.24250332572497313, 0.29621826542238616]	(0.2425652423037986, 0.29652187458394796)	0.002123771335245883	0.0088716366914523	0.5102305305427401	1
0.05	17346	1	954	[0.24271740968063615, 0.29588982566692335]	[0.24286364649558614, 0.2955848005280671]	(0.24277366508896192, 0.29557810281564956)	0.00848676791219316	0.006920472819863077	0.6892240499457754	1
0.05	17346	1	971	[0.24296476465370231, 0.295642324329203]	[0.24315006893122276, 0.29564853449214806]	(0.24326967069890115, 0.2961419675007595)	0.0036351696367359354	0.015129588877949907	0.85971198257503	1
0.05	17346	1	988	[0.243205833447111, 0.2954011142079803]	[0.24318656301523983, 0.2954402687250442]	(0.24314562414673713, 0.29552553219597055)	0.0011181015421090068	0.0035247730521131837	0.8887539505958557	1
0.05	17346	1	1006	[0.24345452648680632, 0.2951522767332757]	[0.2437579733378115, 0.2953258184862893]	(0.24334260097622507, 0.29551138473142535)	0.00919561833978455	0.009029029906873154	0.28752430784758065	1
0.05	17346	1	1023	[0.24368347373423782, 0.29492319774203957]	[0.2437367451438455, 0.2949877984820082]	(0.24423941000741456, 0.2948486352468135)	0.0022975090337079562	0.012304882210271484	0.7546581226819733	1
0.05	17346	1	1040	[0.24390690106213453, 0.2946996429773473]	[0.24350815816110813, 0.294573852779569]	(0.2438671511423781, 0.29491031397530776)	0.010246491202347663	0.004906061925208927	0.6360907015129156	1
0.05	17346	1	1058	[0.2441377012446989, 0.294468712325465]	[0.24420005279013116, 0.2943771655143159]	(0.2444172361993403, 0.2939784425362524)	0.0030577243189963133	0.015294839649032999	0.832702663322258	1
0.05	17346	1	1075	[0.24435044959836982, 0.29425584476261846]	[0.2441622747570718, 0.2940611042622698]	(0.244185889297443, 0.29424057299429174)	0.0076440018470294024	0.0035916163212610375	0.8852775421419006	1
0.05	17346	1	1092	[0.2445583194431391, 0.29404785942031486]	[0.2445551786457659, 0.29387642754855936]	(0.24499465272848342, 0.2943825283260625)	0.003527242137558284	0.01547444923618635	0.7875470565322977	1
0.05	17346	1	1110	[0.24477330717712487, 0.2938327532508609]	[0.24449597789827315, 0.293654223729774]	(0.24441503973777556, 0.2938547760324105)	0.009239736417323008	0.007691995334129342	0.7315605449293283	1
0.05	17346	1	1127	[0.24497171086621616, 0.2936342411798294]	[0.24542901375972664, 0.2937567256835963]	(0.2458496584976846, 0.29389708467730535)	0.011884538714351689	0.02331696295973562	0.941215957225826	1
0.05	17346	1	1144	[0.24516577760813874, 0.2934400692771083]	[0.24479162844041394, 0.29359313576810225]	(0.2449563943358618, 0.2938051688318174)	0.010803265874118173	0.011760434789077179	0.8102960310426159	1
0.05	17346	1	1162	[0.245366709205743, 0.29323902968659343]	[0.2451517591006544, 0.2931677561501365]	(0.24567072868810702, 0.2936713795454653)	0.0059521706692416965	0.01524426801915979	0.6211615410816576	1
0.05	17346	1	1179	[0.2455523378776998, 0.29305330204912305]	[0.24570062928909264, 0.2930840281050179]	(0.24536628852205733, 0.2934889481825641)	0.003766276066167973	0.012918976080487532	0.8876455235303768	1
0.05	17346	1	1196	[0.2457340904573786, 0.29287145331733155]	[0.2454420444313896, 0.293045085816502]	(0.24553108845893212, 0.29340233358056966)	0.009782537241519784	0.015330335775053272	0.9872017327326081	1
0.05	17346	1	1214	[0.245922460319129, 0.2926829845826219]	[0.24588758603709387, 0.2926758526667355]	(0.24612307052654014, 0.29275958024781235)	0.0008976565907570233	0.005918508077005891	0.9299297958856475	1
0.05	17346	1	1231	[0.24609665286835547, 0.2925087013083747]	[0.2459805259207171, 0.29267934539546475]	(0.24625512465393495, 0.292829216483668)	0.00614086261609903	0.010249533169540026	0.8170953989028931	1
0.05	17346	1	1248	[0.24626736431299745, 0.2923379016103873]	[0.24665069818151747, 0.292376132493335]	(0.24716765720925626, 0.29223809721179705)	0.009142832656446442	0.02170795813370574	0.38333441566819987	1
0.05	17346	1	1266	[0.2464444531226807, 0.29216072193937015]	[0.2460963757600191, 0.29254809303667795]	(0.24671849528135326, 0.2919877444756074)	0.0158325354386617	0.009778130061920742	0.8892455101013184	1
0.05	17346	1	1283	[0.24660835957406702, 0.2919967320154776]	[0.24687266257776688, 0.29146869847861423]	(0.24742482728285775, 0.2916363054509217)	0.0174568176372929	0.025929422229577725	0.4038805541910519	1
0.05	17346	1	1300	[0.24676912567655973, 0.29183588462360555]	[0.24651692256880425, 0.2920149029503856]	(0.24691696505522942, 0.2924189345391893)	0.009477814859450873	0.016010785421969098	0.6840672905100382	1
0.05	17346	1	1318	[0.24693603818012533, 0.29166888833458415]	[0.24676989512307493, 0.29174266512081126]	(0.2474268939932759, 0.29200108234929634)	0.005334780207881029	0.018263597496389283	0.22134253809068466	1
0.05	17346	1	1335	[0.24709065263895436, 0.29151419681963486]	[0.24718458997426462, 0.2913240209517425]	(0.24743378787572545, 0.29158270118803187)	0.0063955546195751944	0.009251981389754138	0.9911413418888315	1
0.05	17346	1	1352	[0.24724242249021022, 0.29136235185006043]	[0.24692920882301447, 0.291800747342991]	(0.247037881555906, 0.29201414805352444)	0.016750242690958816	0.01903975595247709	0.6402488921998446	1
0.05	17346	1	1370	[0.24740011741880108, 0.29120457941639444]	[0.2473720376063669, 0.2914077554130184]	(0.24739072523386307, 0.29162886842001357)	0.005251550799592275	0.009803331634699042	0.7017866101445145	1
0.05	17346	1	1387	[0.24754630425518653, 0.29105832122790454]	[0.24778362358604755, 0.2911815752605694]	(0.2478436081034131, 0.2908932480362515)	0.008263346490535728	0.010626421665755559	0.903886945715284	1
0.05	17346	1	1405	[0.24769827277985246, 0.2909062790359622]	[0.24783330499114015, 0.2909963712535843]	(0.24818101113001678, 0.2910515038154856)	0.005199406829524911	0.014484805738505968	0.9246715491935409	1
0.05	17346	1	1422	[0.24783921858068392, 0.2907652653729368]	[0.24828030069960563, 0.29081443973402205]	(0.24853315163599987, 0.29107068355645793)	0.011407887309240583	0.02311629363929979	0.8383347832081074	1
0.05	17346	1	1439	[0.24797773343136187, 0.29062668426348026]	[0.24793065628461364, 0.29040965693545306]	(0.24782071975179243, 0.28999749252689233)	0.006185691908065838	0.018366725878649515	0.5886460542678833	1
0.05	17346	1	1457	[0.24812182524995896, 0.2904825239738228]	[0.2480343047807465, 0.29039912654865474]	(0.2483001312740809, 0.29054059711497415)	0.004026503293414585	0.005572513179436411	0.9401097095187098	1
0.05	17346	1	1474	[0.2482555551040354, 0.29034873098814873]	[0.24802542361615484, 0.2902588451598634]	(0.24805869045338347, 0.29007855874852084)	0.007561254921624294	0.011043661447803332	0.9375799884387892	1
0.05	17346	1	1491	[0.24838706186186355, 0.29021716253834373]	[0.24850931478893998, 0.29046718850849224]	(0.24831653031719125, 0.2909116716601622)	0.008846905342067557	0.017960749568377565	0.8528948426246643	1
0.05	17346	1	1509	[0.24852395067733657, 0.290080209917018]	[0.24877280964396548, 0.2898276287162182]	(0.2489322353913901, 0.29006905356270174)	0.012066537667324129	0.010093330729086802	0.9415313256107635	1
0.05	17346	1	1526	[0.24865107469013625, 0.28995302702527026]	[0.24878409697139378, 0.28993180241311917]	(0.2490145324215709, 0.2897510133611997)	0.0037346150650948706	0.013691154135205386	0.8609495759010315	1
0.05	17346	1	1543	[0.2487761593569242, 0.28982788477693155]	[0.24909001405559625, 0.2896800852871478]	(0.24915778014486423, 0.2898370026476358)	0.011245670766150462	0.009516089474290945	0.9442006237079597	1
0.05	17346	1	1561	[0.24890644071547607, 0.2896975438166902]	[0.24924231072977526, 0.2894178545474884]	(0.24894179173347264, 0.2888775616728465)	0.01509052800003019	0.020968620527813564	0.7568309558227305	1
0.05	17346	1	1578	[0.24902749899850174, 0.2895764304917017]	[0.24899590184289988, 0.2894243984287853]	(0.24927265031674706, 0.2895844709040791)	0.004525057327552706	0.006242865744815473	0.7898373368081583	1
0.05	17346	1	1595	[0.24914668106345128, 0.2894571945580974]	[0.24921111492212472, 0.2895094589173223]	(0.24941071229549439, 0.2893714596846746)	0.0028912335598131333	0.008676796079820304	0.9633610157093891	1
0.05	17346	1	1613	[0.24927088364819128, 0.2893329361735958]	[0.2495541257825352, 0.28904369176961486]	(0.24992172462162077, 0.2890141520247338)	0.014289995200865158	0.024203081499047374	0.7699632609103214	1
0.05	17346	1	1630	[0.24938635632464168, 0.28921741192896055]	[0.24940342455667291, 0.2893363109872317]	(0.24965718353113042, 0.2894266471629703)	0.003403440415659098	0.011989484353069013	0.7387377769612026	1
0.05	17346	1	1647	[0.24950009817438656, 0.2891036195755837]	[0.2492756437473317, 0.289313157014921]	(0.24963483275416398, 0.2893859240368307)	0.01083963091043083	0.01045582063319117	0.7144403457641602	1
0.05	17346	1	1665	[0.2496186931657297, 0.28898497223389386]	[0.2498052650549804, 0.28880505507178084]	(0.2500689465205813, 0.28898125442378897)	0.009309720401288857	0.011531980560581356	0.9690578669630723	1
0.05	17346	1	1682	[0.2497290086811912, 0.288874608305255]	[0.24958392044225156, 0.2888872486757245]	(0.24945478313170766, 0.2887632197615201)	0.0040131107592765725	0.00978223752948637	0.8688352795436487	1
0.05	17346	1	1699	[0.24983772343167432, 0.288765846110428]	[0.24986450357023524, 0.2887730933227945]	(0.24975142640822912, 0.28909481203434007)	0.000873944462902787	0.010554835094864767	0.8243940749978729	1
0.05	17346	1	1717	[0.24995113231386157, 0.2886523880170667]	[0.25002463918414175, 0.2885980909698569]	(0.2503068088066651, 0.2887142048075887)	0.0033023196577941505	0.010770386774502483	0.8844080567359924	1
0.05	17346	1	1734	[0.25005667438128143, 0.2885468004105487]	[0.24976725760817953, 0.28842296073546403]	(0.2499488280886304, 0.2886260077767465)	0.0106565580283563	0.004836279696638024	0.9987469444082789	1
0.05	17346	1	1751	[0.25016073243506987, 0.2884426977019162]	[0.25003705467187376, 0.28865581914438]	(0.25024530645486187, 0.288813287815913)	0.008721128452974014	0.011775783756184821	0.6610365499837045	1
0.05	17346	1	1769	[0.2502693335447903, 0.28833405024607184]	[0.2503356322195579, 0.2882522056259682]	(0.25066134300856024, 0.28831178051542594)	0.0038918796121301114	0.01088354860662566	0.6515842469077919	1
0.05	17346	1	1786	[0.2503704469813278, 0.28823289389597573]	[0.2502472269497378, 0.28843263139041864]	(0.25058518258894635, 0.2884973419977709)	0.0084576170074262	0.01256812833059262	0.9618221453396367	1
0.05	17346	1	1803	[0.2504701815485042, 0.28813311722448154]	[0.25020942399260276, 0.28846651242194293]	(0.25053263731898223, 0.28878406108198196)	0.015530527223999724	0.018619874485826915	0.9412560574763772	1
0.05	17346	1	1821	[0.25057431559839327, 0.2880289394504072]	[0.25069830504351165, 0.2878856771459096]	(0.25065917257383374, 0.28760425008504986)	0.0071353473117733435	0.013604364118327883	0.9173081517219543	1
0.05	17346	1	1838	[0.2506713112572583, 0.2879319032828367]	[0.25022642721378846, 0.28823571012252475]	(0.2505202068692449, 0.2883175461251719)	0.019697579797954945	0.014200661763894118	0.7665525078773499	1
0.05	17346	1	1856	[0.2507726137753479, 0.2878305586820158]	[0.250659198108212, 0.28783402380295353]	(0.25081236518031225, 0.28798741715762044)	0.00314408436056568	0.005283109480639592	0.8727523485302909	1
0.05	17346	1	1873	[0.250866997789577, 0.28773613566568]	[0.25076779512760855, 0.287789609563678]	(0.2508311011086749, 0.28799935109041697)	0.00412396210969268	0.008047516517080466	0.9580517518904336	1
0.05	17346	1	1890	[0.2509601567481802, 0.28764293840659527]	[0.25103813467781766, 0.28748456051042226]	(0.2512645996742239, 0.2874941234748527)	0.006443236175800671	0.01235614741561708	0.9992309098196356	1
0.05	17346	1	1908	[0.25105749061008065, 0.2875455647351488]	[0.2510185784515304, 0.28777505173990237]	(0.2513211753366922, 0.287653121192014)	0.007302092374262159	0.010144412804845349	0.9948632789888843	1
0.05	17346	1	1925	[0.25114821216010075, 0.28745480627082254]	[0.25109278121312983, 0.2872699542476037]	(0.2510082083225753, 0.2873554331373378)	0.006608074490034754	0.006567882449552087	0.6581521180227261	1
0.05	17346	1	1942	[0.2512377892935421, 0.28736519286936024]	[0.2513844088204932, 0.28729255533954334]	(0.2515426658159676, 0.287146533632061)	0.006068995694855639	0.014491375186319155	0.8023868429587748	1
0.05	17346	1	1960	[0.2513314157853169, 0.28727152866189154]	[0.2512098509443988, 0.28700588767150087]	(0.2513554397408313, 0.2873800309768809)	0.010737321606115291	0.0036763207074530513	0.5628188848495483	1
0.05	17346	1	1977	[0.251418713862229, 0.28718419559521047]	[0.2513748978770612, 0.28705814593927875]	(0.2513864155646487, 0.28701825135862946)	0.004743618331656374	0.005537844357725419	0.9910573032093805	1
0.05	17346	1	1994	[0.2515049409059916, 0.28709793415829477]	[0.2516096661200539, 0.2870927420019737]	(0.2518034627156357, 0.2871618866731718)	0.0030881743944430884	0.010165602149096897	0.6253676353252147	1
0.05	17346	1	2012	[0.2515950977985315, 0.28700774148295927]	[0.251806171945068, 0.28692181482177587]	(0.25186002414105435, 0.28724599304426235)	0.008386857823057259	0.014114032771341933	0.8962181806564331	1
0.05	17346	1	2029	[0.25167919007052364, 0.2869236159990616]	[0.2516530993514135, 0.28685176398919293]	(0.2521105666516028, 0.2874630422323514)	0.0027769008874247714	0.027129634058923546	0.8965378128135031	1
0.05	17346	1	2046	[0.2517622782564941, 0.2868404951530943]	[0.25159832382153524, 0.2866306550138096]	(0.25180058042836884, 0.28677176249874814)	0.010606456983791146	0.0030513189007406183	0.7609538994949943	1
0.05	17346	1	2064	[0.25184918246163024, 0.2867535569531907]	[0.25201597239835183, 0.28658210079913204]	(0.2519241395701254, 0.28668219825322405)	0.00969065040435102	0.004191904613479958	0.7711267226657882	1
0.05	17346	1	2081	[0.2519302676622184, 0.28667244018642146]	[0.25211243836877106, 0.28683089925030947]	(0.2521301001518522, 0.2867922870546924)	0.009759988714843848	0.009169846253191838	0.7854409242532665	1
0.05	17346	1	2098	[0.2520104099965659, 0.28659226679745153]	[0.2519354787377695, 0.28662307953509164]	(0.2520046672250543, 0.286653727536077)	0.0030484667144994315	0.0019395478415218381	0.9919110721289187	1
0.05	17346	1	2116	[0.2520942598652913, 0.2865083845912403]	[0.2520802403424107, 0.2863662956402121]	(0.25203708859143625, 0.2864343741067876)	0.004534327287015971	0.003805536012004729	0.8416989850112853	1
0.05	17346	1	2133	[0.25217251986240163, 0.2864300945543121]	[0.25216010195880645, 0.2864383356200736]	(0.2523727005862869, 0.2866132064031994)	0.0006026847696064541	0.011129063072495504	0.9303465485572815	1
0.05	17346	1	2150	[0.25224989310145185, 0.28635269175049205]	[0.25217850439499684, 0.2866392331643977]	(0.2519626651459951, 0.2867451542531445)	0.010386609138646308	0.01954116785648674	0.7071742183480599	1
0.05	17346	1	2168	[0.25233087041989555, 0.2862716836335415]	[0.2524356765406401, 0.28594693120315356]	(0.2524383396970111, 0.28598315929931917)	0.012656106629754138	0.011667181008459093	0.7843202738604795	1
0.05	17346	1	2185	[0.25240647201501165, 0.2861960534168789]	[0.2523022416584343, 0.2863160895952289]	(0.25236302297825897, 0.286122783296734)	0.006593389120339799	0.0034498581825044283	0.9020205736160278	1
0.05	17346	1	2202	[0.25248123838533243, 0.28612125886694306]	[0.25244809761454196, 0.2862484165834556]	(0.25253919638218447, 0.28646086172509)	0.004742514041079393	0.011699978278859158	0.7613928526716578	1
0.05	17346	1	2220	[0.2525595101143786, 0.2860429577710639]	[0.25247150874578994, 0.2862043270041599]	(0.2524556250987735, 0.28632186521133496)	0.007392522017419689	0.01130306921004065	0.9052335276029183	1
0.05	17346	1	2237	[0.25263260661242126, 0.285969833971625]	[0.2525276041841637, 0.2860114168294097]	(0.25271783811517257, 0.2862896823742165)	0.004377795551400276	0.01203550505129114	0.6107502709551711	1
0.05	17346	1	2254	[0.2527049153133669, 0.2858974983811057]	[0.25265347410944394, 0.28577288207668183]	(0.252833232373196, 0.28562024976419176)	0.00529591444489752	0.01221856328310822	0.9372944541512471	1
0.05	17346	1	2272	[0.25278063510995463, 0.28582175055180303]	[0.2528536049216601, 0.28554708089170033]	(0.25257244646471466, 0.2853562651253181)	0.010521420574314377	0.020261298400724215	0.9703285654024044	1
0.05	17346	1	2289	[0.25285136769364847, 0.2857509918975889]	[0.2530890562468241, 0.28559704125399377]	(0.2530587840518056, 0.28571407349727207)	0.011904062926161307	0.00742667323369306	0.826105450746994	1
0.05	17346	1	2307	[0.2529254503059597, 0.2856768820999851]	[0.25291717947243003, 0.28570762578014824]	(0.2530816515517951, 0.28596533430859594)	0.0011898134391550297	0.01345808158438877	0.3276720464656877	1
0.05	17346	1	2324	[0.25299466576592644, 0.28560764135169137]	[0.25303192356509013, 0.2855754754896023]	(0.2530122475709733, 0.28584599343372785)	0.002128712882090822	0.007790671039885733	0.8467033223061116	1
0.05	17346	1	2341	[0.2530631647028029, 0.2855391174937685]	[0.25304370294643086, 0.2855979016255388]	(0.25309444551837146, 0.28578258771517906)	0.002403557492340558	0.008397184659253765	0.5846602043546602	1
0.05	17346	1	2359	[0.25313492629271184, 0.2854673299083673]	[0.2533001106833856, 0.2854410570569808]	(0.25351972464788153, 0.28536330817033917)	0.005921528270405596	0.015118581934352449	0.5772117296676804	1
0.05	17346	1	2376	[0.2532019901787642, 0.285400241832673]	[0.25321340699723666, 0.2852677936136983]	(0.25324370543499697, 0.28532228132445014)	0.004468100907884409	0.0037168404589777992	0.9703951958550989	1
0.05	17346	1	2393	[0.253268375884371, 0.2853338322811133]	[0.253250926205988, 0.2855553175216753]	(0.2533008050055867, 0.28554530390248245)	0.0073963603464948235	0.007556504214031312	0.9326778295930671	1
0.05	17346	1	2411	[0.25333794067024684, 0.28526424261311134]	[0.25306903785228074, 0.28551127356943573]	(0.252782993942805, 0.2854273570928535)	0.015903151027833462	0.021996483861040472	0.817369582841817	1
0.05	17346	1	2428	[0.253402967302525, 0.2851991928198002]	[0.25333033395042015, 0.2850879432845942]	(0.2536053429699352, 0.2852522677339331)	0.0057699865584938115	0.008020602590415815	0.665257453918457	1
0.05	17346	1	2445	[0.25346735127966713, 0.2851347860037009]	[0.253762520451967, 0.28513314982064164]	(0.2539443784151362, 0.2851029296919322)	0.009372573369003656	0.016069613837446317	0.9130782547549374	1
0.05	17346	1	2463	[0.2535348343511489, 0.2850672790934339]	[0.2533902785409795, 0.2851163761102494]	(0.25358293097994467, 0.28515477349433127)	0.00610389684902457	0.004288149609624314	0.9427214242209393	1
